,N_cf,N_cs,N_uf,N_us,N_f,N_s,Tarantula,Zoltar,Sokal,Fossum
282,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
284,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
287,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
289,0,0,9,191,9,191,,,0.9769820971867008,inf
290,0,0,9,191,9,191,,,0.9769820971867008,inf
293,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
295,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
297,0,0,9,191,9,191,,,0.9769820971867008,inf
299,9,191,0,0,9,191,0.5,0.045,0.0861244019138756,8.991111111111111
301,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
303,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
304,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
305,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
306,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
308,0,0,9,191,9,191,,,0.9769820971867008,inf
309,0,0,9,191,9,191,,,0.9769820971867008,inf
311,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
313,9,3,0,188,9,191,0.9845360824742267,0.75,0.9924433249370277,149.85185185185185
314,9,3,0,188,9,191,0.9845360824742267,0.75,0.9924433249370277,149.85185185185185
315,9,3,0,188,9,191,0.9845360824742267,0.75,0.9924433249370277,149.85185185185185
316,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
318,9,22,0,169,9,191,0.8967136150234741,0.2903225806451613,0.9417989417989417,58.007168458781365
320,9,22,0,169,9,191,0.8967136150234741,0.2903225806451613,0.9417989417989417,58.007168458781365
321,9,22,0,169,9,191,0.8967136150234741,0.2903225806451613,0.9417989417989417,58.007168458781365
322,9,22,0,169,9,191,0.8967136150234741,0.2903225806451613,0.9417989417989417,58.007168458781365
323,9,22,0,169,9,191,0.8967136150234741,0.2903225806451613,0.9417989417989417,58.007168458781365
325,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
327,0,0,9,191,9,191,,,0.9769820971867008,inf
328,0,0,9,191,9,191,,,0.9769820971867008,inf
329,9,23,0,168,9,191,0.8925233644859814,0.28125,0.9389920424403183,56.19444444444444
332,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
334,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
335,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
336,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
337,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
339,0,0,9,191,9,191,,,0.9769820971867008,inf
340,0,0,9,191,9,191,,,0.9769820971867008,inf
342,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
344,0,0,9,191,9,191,,,0.9769820971867008,inf
345,0,0,9,191,9,191,,,0.9769820971867008,inf
347,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
349,0,0,9,191,9,191,,,0.9769820971867008,inf
350,0,0,9,191,9,191,,,0.9769820971867008,inf
351,0,0,9,191,9,191,,,0.9769820971867008,inf
352,0,0,9,191,9,191,,,0.9769820971867008,inf
353,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
355,1,10,8,181,9,191,0.6797153024911032,1.2499703132050615e-06,0.9528795811518325,0.5656565656565656
357,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
359,0,0,9,191,9,191,,,0.9769820971867008,inf
360,0,0,9,191,9,191,,,0.9769820971867008,inf
361,1,13,8,178,9,191,0.6201298701298701,9.615181217320402e-07,0.9445910290237467,0.4444444444444444
364,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
366,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
368,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
369,6,99,3,92,9,191,0.5625920471281296,1.211856806999685e-05,0.6577181208053692,7.17037037037037
370,9,169,0,22,9,191,0.5305555555555556,0.05056179775280899,0.2683982683982684,10.102372034956305
371,9,173,0,18,9,191,0.5247252747252747,0.04945054945054945,0.23788546255506607,9.88034188034188
373,8,132,1,59,9,191,0.5625920471281296,4.8443451353691696e-05,0.50187265917603,10.0
375,8,132,1,59,9,191,0.5625920471281296,4.8443451353691696e-05,0.50187265917603,10.0
376,3,46,6,145,9,191,0.5805471124620061,3.260674633581688e-06,0.8505747126436781,3.1746031746031744
377,8,115,1,76,9,191,0.5961763558330082,5.5604209238639366e-05,0.5915492957746479,11.382113821138212
378,8,132,1,59,9,191,0.5625920471281296,4.8443451353691696e-05,0.50187265917603,10.0
